rainTS,roofFlow,inflow,tankInflow,tankSpill,tankVolSim,demand,supply
0,0,0,0,0,2984.827,15.173,15.173
2.4,120,70,30.3459999999995,39.6540000000005,3000,15.173,15.173
2.7,135,135,13.8797500000001,121.12025,3000,13.87975,13.87975
2.3,115,115,13.8797500000001,101.12025,3000,13.87975,13.87975
10.9,545,545,13.8797500000001,531.12025,3000,13.87975,13.87975
0,0,0,0,0,2984.827,15.173,15.173
6.3,315,265,29.0527499999998,235.94725,3000,13.87975,13.87975
11.5,575,575,13.8797500000001,561.12025,3000,13.87975,13.87975
2.9,145,145,13.8797500000001,131.12025,3000,13.87975,13.87975
1.8,90,90,13.8797500000001,76.1202499999999,3000,13.87975,13.87975
1.4,70,70,13.8797500000001,56.1202499999999,3000,13.87975,13.87975
0,0,0,0,0,2986.12025,13.87975,13.87975
0.5,25,0,0,0,2970.94725,15.173,15.173
3.8,190,165,42.9324999999999,122.0675,3000,13.87975,13.87975
2.2,110,110,13.8797500000001,96.1202499999999,3000,13.87975,13.87975
0,0,0,0,0,2986.12025,13.87975,13.87975
0.1,5,0,0,0,2970.94725,15.173,15.173
0,0,0,0,0,2955.77425,15.173,15.173
2.3,115,65,59.3987499999994,5.60125000000062,3000,15.173,15.173
1.1,55,55,13.8797500000001,41.1202499999999,3000,13.87975,13.87975
0.5,25,25,13.8797500000001,11.1202499999999,3000,13.87975,13.87975
0,0,0,0,0,2986.12025,13.87975,13.87975
0,0,0,0,0,2970.94725,15.173,15.173
0,0,0,0,0,2957.0675,13.87975,13.87975
0,0,0,0,0,2943.18775,13.87975,13.87975
0,0,0,0,0,2928.01475,15.173,15.173
0,0,0,0,0,2912.84175,15.173,15.173
3.8,190,140,102.331249999999,37.6687500000007,3000,15.173,15.173
5.3,265,265,15.1729999999998,249.827,3000,15.173,15.173
0.6,30,30,20.346,9.654,3000,20.346,20.346
